record_id,year,month,quarter,department,district,state,scheme,contractor_id,contractor_risk,district_tier,centre_released,state_allocated,district_allocated,contractor_paid,diff_amount,diff_percent,spending_ratio,is_overspend,completion_pct,label_type,label,risk_level
REC08375,2024,9,3,Education,Anand,Gujarat,Ayushman Bharat,C064,medium,3,52.46,50.96,49.96,37.86,12.1,24.22,0.7578,0,68,warning,1,yellow
REC06936,2023,9,3,Infrastructure,Nagpur,Maharashtra,PM Gram Sadak Yojana,C021,low,2,2468.48,2397.95,2350.93,1970.25,380.68,16.19,0.8381,0,69,normal,0,green
REC05104,2024,7,3,Infrastructure,Mumbai,Maharashtra,PM Fasal Bima Yojana,C081,low,1,3494.07,3394.24,3327.69,2559.55,768.14,23.08,0.7692,0,70,normal,0,green
REC08964,2021,6,2,Agriculture,Surat,Gujarat,Ayushman Bharat,C012,medium,1,400.02,388.59,380.97,450.5,69.53,18.25,1.1825,1,40,anomaly_over,2,red
REC04994,2024,1,1,Agriculture,Nandurbar,Maharashtra,Swachh Bharat Mission,C055,low,3,43.53,42.29,41.46,30.53,10.93,26.36,0.7364,0,79,normal,0,green
REC09070,2022,5,2,Infrastructure,Nandurbar,Maharashtra,PM Gram Sadak Yojana,C022,low,3,881.96,856.76,839.96,1274.16,434.2,51.69,1.5169,1,38,anomaly_over,2,red
REC03925,2024,2,1,Agriculture,Rajkot,Gujarat,Swachh Bharat Mission,C069,medium,2,173.84,168.87,165.56,125.57,39.99,24.15,0.7585,0,64,normal,0,green
REC00400,2021,4,2,Agriculture,Anand,Gujarat,PM Awas Yojana,C076,medium,3,50.74,49.29,48.32,36.02,12.3,25.46,0.7454,0,86,normal,0,green
REC06864,2023,10,4,Housing,Mumbai,Maharashtra,Swachh Bharat Mission,C097,medium,1,919.91,893.62,876.1,722.83,153.27,17.49,0.8251,0,86,normal,0,green
REC07441,2023,10,4,Infrastructure,Surat,Gujarat,Sarva Shiksha Abhiyan,C074,medium,1,901.68,875.91,858.74,513.71,345.03,40.18,0.5982,0,66,warning,1,yellow
REC09535,2022,2,1,Health,Anand,Gujarat,Swachh Bharat Mission,C061,low,3,92.33,89.69,87.93,10.43,77.5,88.14,0.1186,0,24,anomaly_under,2,red
REC05846,2021,8,3,Health,Mumbai,Maharashtra,Jal Jeevan Mission,C041,low,1,502.59,488.23,478.66,423.13,55.53,11.6,0.884,0,72,normal,0,green
REC03294,2024,11,4,Education,Nagpur,Maharashtra,Swachh Bharat Mission,C097,medium,2,350.12,340.12,333.45,321.73,11.72,3.51,0.9649,0,82,normal,0,green
REC07006,2024,4,2,Agriculture,Mumbai,Maharashtra,PM Fasal Bima Yojana,C061,low,1,97.25,94.47,92.62,100.12,7.5,8.1,1.081,1,43,warning,1,yellow
REC07297,2023,5,2,Agriculture,Pune,Maharashtra,PM Gram Sadak Yojana,C088,low,1,421.21,409.17,401.15,460.94,59.79,14.9,1.149,1,58,warning,1,yellow
REC05588,2024,9,3,Agriculture,Vadodara,Gujarat,Sarva Shiksha Abhiyan,C096,medium,2,223.57,217.18,212.92,164.27,48.65,22.85,0.7715,0,87,normal,0,green
REC00417,2022,3,1,Sanitation,Bharuch,Gujarat,Ayushman Bharat,C012,medium,3,15.18,14.75,14.46,11.88,2.58,17.84,0.8216,0,85,normal,0,green
REC05838,2022,4,2,Sanitation,Palghar,Maharashtra,PM Fasal Bima Yojana,C048,medium,3,92.4,89.76,88.0,73.99,14.01,15.92,0.8408,0,94,normal,0,green
REC06882,2023,11,4,Education,Nandurbar,Maharashtra,Sarva Shiksha Abhiyan,C078,low,3,208.7,202.74,198.76,182.39,16.37,8.24,0.9176,0,72,normal,0,green
REC09966,2022,2,1,Health,Vadodara,Gujarat,PM Awas Yojana,C001,low,2,423.74,411.63,403.56,149.73,253.83,62.9,0.371,0,25,anomaly_under,2,red
REC09463,2022,12,4,Sanitation,Nashik,Maharashtra,Sarva Shiksha Abhiyan,C014,high,2,79.09,76.83,75.32,25.4,49.92,66.28,0.3372,0,6,anomaly_under,2,red
REC08550,2021,7,3,Health,Ahmedabad,Gujarat,PM Fasal Bima Yojana,C008,medium,1,470.53,457.08,448.12,557.83,109.71,24.48,1.2448,1,21,anomaly_over,2,red
REC01643,2022,10,4,Housing,Nagpur,Maharashtra,PM Gram Sadak Yojana,C062,low,2,706.34,686.15,672.7,536.95,135.75,20.18,0.7982,0,78,normal,0,green
REC01808,2024,3,1,Sanitation,Bharuch,Gujarat,Ayushman Bharat,C038,medium,3,55.69,54.1,53.04,44.06,8.98,16.93,0.8307,0,90,normal,0,green
REC01518,2021,2,1,Sanitation,Surat,Gujarat,PM Awas Yojana,C029,low,1,219.07,212.81,208.64,185.15,23.49,11.26,0.8874,0,61,normal,0,green
REC03473,2024,5,2,Infrastructure,Anand,Gujarat,PM Awas Yojana,C019,medium,3,899.33,873.63,856.5,619.08,237.42,27.72,0.7228,0,73,normal,0,green
REC08623,2023,8,3,Agriculture,Pune,Maharashtra,Jal Jeevan Mission,C009,low,1,239.33,232.49,227.93,272.36,44.43,19.49,1.1949,1,51,anomaly_over,2,red
REC07542,2022,6,2,Infrastructure,Surat,Gujarat,PM Awas Yojana,C009,low,1,1332.28,1294.22,1268.84,1339.96,71.12,5.61,1.0561,1,66,warning,1,yellow
REC03479,2021,5,2,Agriculture,Ahmedabad,Gujarat,PM Fasal Bima Yojana,C042,low,1,105.44,102.43,100.42,65.27,35.15,35.0,0.65,0,77,normal,0,green
REC00517,2024,12,4,Agriculture,Rajkot,Gujarat,PM Gram Sadak Yojana,C041,low,2,198.74,193.07,189.28,148.54,40.74,21.52,0.7848,0,78,normal,0,green
REC01043,2023,6,2,Infrastructure,Nandurbar,Maharashtra,PM Awas Yojana,C026,medium,3,1472.33,1430.26,1402.22,1183.51,218.71,15.6,0.844,0,90,normal,0,green
REC09324,2024,10,4,Sanitation,Palghar,Maharashtra,Swachh Bharat Mission,C057,high,3,27.54,26.75,26.23,12.88,13.35,50.9,0.491,0,22,anomaly_under,2,red
REC01003,2022,10,4,Health,Ahmedabad,Gujarat,MGNREGA,C069,medium,1,110.55,107.4,105.29,92.69,12.6,11.97,0.8803,0,91,normal,0,green
REC02128,2021,7,3,Housing,Ahmedabad,Gujarat,MGNREGA,C038,medium,1,647.13,628.64,616.31,471.57,144.74,23.48,0.7652,0,85,normal,0,green
REC04286,2023,7,3,Housing,Raigad,Maharashtra,Sarva Shiksha Abhiyan,C053,low,3,304.52,295.82,290.02,266.12,23.9,8.24,0.9176,0,80,normal,0,green
REC01230,2021,8,3,Sanitation,Surat,Gujarat,Ayushman Bharat,C074,medium,1,172.9,167.96,164.67,136.24,28.43,17.26,0.8274,0,88,normal,0,green
REC05036,2021,8,3,Infrastructure,Anand,Gujarat,Sarva Shiksha Abhiyan,C084,low,3,307.4,298.62,292.76,261.3,31.46,10.75,0.8925,0,70,normal,0,green
REC04145,2022,8,3,Infrastructure,Dahanu,Maharashtra,Sarva Shiksha Abhiyan,C030,low,3,1343.0,1304.63,1279.05,1091.72,187.33,14.65,0.8535,0,60,normal,0,green
REC07308,2024,3,1,Agriculture,Nagpur,Maharashtra,PM Fasal Bima Yojana,C003,low,2,226.14,219.68,215.37,233.41,18.04,8.38,1.0838,1,45,warning,1,yellow
REC04097,2022,8,3,Health,Ahmedabad,Gujarat,Jal Jeevan Mission,C022,low,1,272.77,264.98,259.78,233.95,25.83,9.94,0.9006,0,65,normal,0,green
REC05948,2021,11,4,Education,Mumbai,Maharashtra,PM Awas Yojana,C015,medium,1,623.41,605.59,593.72,534.09,59.63,10.04,0.8996,0,64,normal,0,green
REC04874,2023,8,3,Infrastructure,Vadodara,Gujarat,PM Awas Yojana,C010,low,2,206.34,200.44,196.51,155.23,41.28,21.01,0.7899,0,66,normal,0,green
REC09866,2023,9,3,Sanitation,Pune,Maharashtra,Swachh Bharat Mission,C100,low,1,158.46,153.93,150.91,19.02,131.89,87.4,0.126,0,21,anomaly_under,2,red
REC00313,2023,10,4,Housing,Anand,Gujarat,MGNREGA,C018,low,3,184.51,179.23,175.72,157.96,17.76,10.11,0.8989,0,71,normal,0,green
REC05854,2022,2,1,Infrastructure,Surat,Gujarat,Jal Jeevan Mission,C099,medium,1,2549.41,2476.57,2428.01,2030.76,397.25,16.36,0.8364,0,92,normal,0,green
REC01158,2021,5,2,Agriculture,Raigad,Maharashtra,MGNREGA,C080,medium,3,56.16,54.56,53.49,43.24,10.25,19.16,0.8084,0,84,normal,0,green
REC07200,2023,2,1,Education,Raigad,Maharashtra,PM Fasal Bima Yojana,C059,low,3,96.33,93.57,91.74,97.75,6.01,6.55,1.0655,1,61,warning,1,yellow
REC09715,2023,11,4,Education,Bharuch,Gujarat,MGNREGA,C067,low,3,79.41,77.14,75.63,26.59,49.04,64.84,0.3516,0,28,anomaly_under,2,red
REC02560,2023,1,1,Housing,Nandurbar,Maharashtra,MGNREGA,C083,medium,3,270.62,262.88,257.73,208.46,49.27,19.12,0.8088,0,70,normal,0,green
REC00836,2023,1,1,Infrastructure,Bharuch,Gujarat,Sarva Shiksha Abhiyan,C088,low,3,1360.85,1321.97,1296.05,1015.22,280.83,21.67,0.7833,0,88,normal,0,green
REC05187,2023,6,2,Infrastructure,Nashik,Maharashtra,MGNREGA,C074,medium,2,1894.48,1840.36,1804.27,1439.64,364.63,20.21,0.7979,0,92,normal,0,green
REC06808,2021,2,1,Health,Nagpur,Maharashtra,PM Gram Sadak Yojana,C036,low,2,98.11,95.31,93.44,78.99,14.45,15.46,0.8454,0,61,normal,0,green
REC04820,2024,8,3,Education,Nandurbar,Maharashtra,PM Awas Yojana,C003,low,3,157.98,153.47,150.46,139.07,11.39,7.57,0.9243,0,86,normal,0,green
REC07342,2023,2,1,Sanitation,Ahmedabad,Gujarat,Swachh Bharat Mission,C022,low,1,251.41,244.23,239.44,270.0,30.56,12.76,1.1276,1,40,warning,1,yellow
REC08036,2023,12,4,Agriculture,Mumbai,Maharashtra,Sarva Shiksha Abhiyan,C038,medium,1,236.46,229.7,225.2,249.89,24.69,10.96,1.1096,1,61,warning,1,yellow
REC03868,2023,3,1,Sanitation,Palghar,Maharashtra,Ayushman Bharat,C044,medium,3,119.19,115.78,113.51,95.21,18.3,16.12,0.8388,0,76,normal,0,green
REC03975,2021,10,4,Agriculture,Nagpur,Maharashtra,Ayushman Bharat,C003,low,2,302.7,294.06,288.29,175.87,112.42,39.0,0.61,0,75,normal,0,green
REC04052,2021,7,3,Education,Raigad,Maharashtra,PM Gram Sadak Yojana,C076,medium,3,74.85,72.72,71.29,64.02,7.27,10.2,0.898,0,73,normal,0,green
REC03385,2022,12,4,Health,Pune,Maharashtra,Swachh Bharat Mission,C036,low,1,149.69,145.41,142.56,126.64,15.92,11.17,0.8883,0,63,normal,0,green
REC05556,2023,4,2,Agriculture,Rajkot,Gujarat,PM Awas Yojana,C082,low,2,144.32,140.2,137.45,96.41,41.04,29.86,0.7014,0,87,normal,0,green
REC09722,2022,5,2,Housing,Mumbai,Maharashtra,PM Gram Sadak Yojana,C004,low,1,507.66,493.16,483.49,113.67,369.82,76.49,0.2351,0,9,anomaly_under,2,red
REC06198,2021,2,1,Sanitation,Nashik,Maharashtra,PM Gram Sadak Yojana,C090,low,2,111.69,108.5,106.37,89.64,16.73,15.73,0.8427,0,88,normal,0,green
REC01957,2022,3,1,Housing,Nashik,Maharashtra,MGNREGA,C093,medium,2,647.79,629.28,616.94,497.48,119.46,19.36,0.8064,0,83,normal,0,green
REC00255,2024,2,1,Health,Raigad,Maharashtra,PM Gram Sadak Yojana,C069,medium,3,133.8,129.98,127.43,110.16,17.27,13.55,0.8645,0,68,normal,0,green
REC09713,2022,5,2,Education,Raigad,Maharashtra,PM Fasal Bima Yojana,C095,low,3,44.38,43.12,42.27,6.06,36.21,85.66,0.1434,0,24,anomaly_under,2,red
REC01707,2024,12,4,Agriculture,Bharuch,Gujarat,MGNREGA,C064,medium,3,118.46,115.08,112.82,74.85,37.97,33.66,0.6634,0,88,normal,0,green
REC06953,2023,5,2,Housing,Rajkot,Gujarat,Jal Jeevan Mission,C039,low,2,170.27,165.4,162.16,122.36,39.8,24.54,0.7546,0,85,normal,0,green
REC09185,2023,5,2,Sanitation,Anand,Gujarat,MGNREGA,C017,low,3,116.79,113.45,111.23,146.29,35.06,31.52,1.3152,1,33,anomaly_over,2,red
REC05370,2023,10,4,Housing,Nandurbar,Maharashtra,Jal Jeevan Mission,C079,medium,3,493.26,479.17,469.77,429.6,40.17,8.55,0.9145,0,60,normal,0,green
REC05693,2022,8,3,Education,Nashik,Maharashtra,MGNREGA,C080,medium,2,213.83,207.72,203.65,189.72,13.93,6.84,0.9316,0,69,normal,0,green
REC09247,2022,8,3,Housing,Nandurbar,Maharashtra,PM Fasal Bima Yojana,C007,medium,3,289.51,281.23,275.72,367.39,91.67,33.25,1.3325,1,20,anomaly_over,2,red
REC01992,2024,6,2,Health,Vadodara,Gujarat,MGNREGA,C076,medium,2,69.58,67.6,66.27,56.3,9.97,15.04,0.8496,0,65,normal,0,green
REC01050,2024,12,4,Education,Surat,Gujarat,MGNREGA,C007,medium,1,460.79,447.63,438.85,408.31,30.54,6.96,0.9304,0,64,normal,0,green
REC03173,2021,2,1,Agriculture,Pune,Maharashtra,Ayushman Bharat,C018,low,1,189.89,184.47,180.85,140.72,40.13,22.19,0.7781,0,68,normal,0,green
REC03417,2023,9,3,Infrastructure,Raigad,Maharashtra,PM Awas Yojana,C047,low,3,308.4,299.58,293.71,218.57,75.14,25.58,0.7442,0,79,normal,0,green
REC06471,2024,3,1,Agriculture,Rajkot,Gujarat,Jal Jeevan Mission,C003,low,2,102.05,99.13,97.19,75.77,21.42,22.04,0.7796,0,81,normal,0,green
REC00468,2023,12,4,Agriculture,Nagpur,Maharashtra,PM Gram Sadak Yojana,C055,low,2,180.23,175.08,171.65,141.18,30.47,17.75,0.8225,0,93,normal,0,green
REC07043,2021,7,3,Agriculture,Anand,Gujarat,Swachh Bharat Mission,C012,medium,3,170.01,165.15,161.91,89.05,72.86,45.0,0.55,0,48,warning,1,yellow
REC02403,2021,2,1,Health,Nashik,Maharashtra,PM Fasal Bima Yojana,C035,medium,2,401.92,390.44,382.78,323.03,59.75,15.61,0.8439,0,93,normal,0,green
REC09932,2024,10,4,Sanitation,Rajkot,Gujarat,Sarva Shiksha Abhiyan,C095,low,2,54.89,53.33,52.28,16.39,35.89,68.65,0.3135,0,7,anomaly_under,2,red
REC09953,2023,9,3,Education,Nandurbar,Maharashtra,Sarva Shiksha Abhiyan,C097,medium,3,93.87,91.19,89.4,22.84,66.56,74.45,0.2555,0,26,anomaly_under,2,red
REC09987,2024,9,3,Infrastructure,Mumbai,Maharashtra,Sarva Shiksha Abhiyan,C046,low,1,2680.87,2604.27,2553.21,726.58,1826.63,71.54,0.2846,0,16,anomaly_under,2,red
REC06863,2024,5,2,Housing,Nandurbar,Maharashtra,MGNREGA,C031,low,3,56.02,54.42,53.35,50.47,2.88,5.4,0.946,0,90,normal,0,green
REC08880,2021,9,3,Housing,Palghar,Maharashtra,PM Awas Yojana,C017,low,3,279.1,271.13,265.81,382.21,116.4,43.79,1.4379,1,47,anomaly_over,2,red
REC06624,2023,3,1,Health,Nandurbar,Maharashtra,MGNREGA,C082,low,3,83.27,80.89,79.3,67.7,11.6,14.63,0.8537,0,78,normal,0,green
REC05365,2024,6,2,Infrastructure,Ahmedabad,Gujarat,Swachh Bharat Mission,C026,medium,1,287.2,278.99,273.52,242.44,31.08,11.36,0.8864,0,63,normal,0,green
REC05341,2023,11,4,Health,Raigad,Maharashtra,PM Awas Yojana,C060,high,3,77.27,75.06,73.59,68.07,5.52,7.5,0.925,0,64,normal,0,green
REC06726,2022,11,4,Agriculture,Anand,Gujarat,MGNREGA,C016,medium,3,56.07,54.47,53.4,46.27,7.13,13.35,0.8665,0,70,normal,0,green
REC03141,2021,10,4,Health,Ahmedabad,Gujarat,MGNREGA,C044,medium,1,603.11,585.88,574.39,527.5,46.89,8.16,0.9184,0,60,normal,0,green
REC06826,2023,9,3,Health,Rajkot,Gujarat,Ayushman Bharat,C078,low,2,154.98,150.55,147.6,125.95,21.65,14.67,0.8533,0,85,normal,0,green
REC07405,2023,7,3,Housing,Rajkot,Gujarat,PM Awas Yojana,C071,low,2,271.97,264.2,259.02,289.81,30.79,11.89,1.1189,1,67,warning,1,yellow
REC01189,2022,2,1,Education,Palghar,Maharashtra,PM Gram Sadak Yojana,C023,high,3,230.27,223.69,219.3,201.98,17.32,7.9,0.921,0,73,normal,0,green
REC00654,2022,4,2,Sanitation,Bharuch,Gujarat,Ayushman Bharat,C070,low,3,57.72,56.07,54.97,45.61,9.36,17.03,0.8297,0,78,normal,0,green
REC08101,2023,10,4,Health,Raigad,Maharashtra,Swachh Bharat Mission,C072,medium,3,251.73,244.53,239.74,174.0,65.74,27.42,0.7258,0,58,warning,1,yellow
REC08818,2022,8,3,Health,Nandurbar,Maharashtra,PM Awas Yojana,C057,high,3,145.37,141.22,138.45,192.58,54.13,39.1,1.391,1,43,anomaly_over,2,red
REC01948,2022,9,3,Health,Nandurbar,Maharashtra,MGNREGA,C027,medium,3,82.59,80.23,78.66,70.45,8.21,10.44,0.8956,0,68,normal,0,green
REC05881,2023,12,4,Agriculture,Ahmedabad,Gujarat,PM Fasal Bima Yojana,C016,medium,1,378.76,367.93,360.72,264.53,96.19,26.67,0.7333,0,82,normal,0,green
REC06346,2023,11,4,Health,Raigad,Maharashtra,Swachh Bharat Mission,C097,medium,3,254.94,247.66,242.8,231.72,11.08,4.56,0.9544,0,73,normal,0,green
REC00285,2024,4,2,Agriculture,Ahmedabad,Gujarat,Sarva Shiksha Abhiyan,C059,low,1,105.24,102.23,100.23,70.24,29.99,29.92,0.7008,0,83,normal,0,green
REC04794,2023,5,2,Housing,Nandurbar,Maharashtra,PM Awas Yojana,C015,medium,3,175.62,170.61,167.26,153.22,14.04,8.39,0.9161,0,85,normal,0,green
REC05081,2021,1,1,Sanitation,Nashik,Maharashtra,PM Gram Sadak Yojana,C014,high,2,29.35,28.51,27.95,22.55,5.4,19.32,0.8068,0,80,normal,0,green
REC02933,2022,11,4,Sanitation,Anand,Gujarat,Jal Jeevan Mission,C052,low,3,62.52,60.73,59.54,53.27,6.27,10.53,0.8947,0,89,normal,0,green
REC08367,2022,5,2,Health,Nagpur,Maharashtra,Sarva Shiksha Abhiyan,C039,low,2,487.37,473.44,464.16,487.39,23.23,5.0,1.05,1,54,warning,1,yellow
REC06147,2021,1,1,Sanitation,Anand,Gujarat,PM Fasal Bima Yojana,C083,medium,3,87.13,84.64,82.98,80.46,2.52,3.04,0.9696,0,82,normal,0,green
REC02583,2023,10,4,Education,Surat,Gujarat,Ayushman Bharat,C053,low,1,75.22,73.07,71.64,67.31,4.33,6.04,0.9396,0,82,normal,0,green
REC07564,2021,11,4,Health,Bharuch,Gujarat,Jal Jeevan Mission,C013,medium,3,201.82,196.05,192.21,138.15,54.06,28.13,0.7187,0,38,warning,1,yellow
REC07725,2023,10,4,Health,Surat,Gujarat,PM Fasal Bima Yojana,C093,medium,1,189.58,184.16,180.55,130.78,49.77,27.57,0.7243,0,62,warning,1,yellow
REC01046,2023,12,4,Agriculture,Nandurbar,Maharashtra,Swachh Bharat Mission,C087,low,3,94.7,91.99,90.19,57.76,32.43,35.96,0.6404,0,64,normal,0,green
REC05831,2022,11,4,Housing,Pune,Maharashtra,Swachh Bharat Mission,C031,low,1,1055.78,1025.61,1005.5,903.3,102.2,10.16,0.8984,0,85,normal,0,green
REC02738,2021,11,4,Agriculture,Anand,Gujarat,Swachh Bharat Mission,C015,medium,3,170.42,165.55,162.3,131.09,31.21,19.23,0.8077,0,64,normal,0,green
REC03386,2024,8,3,Health,Rajkot,Gujarat,Ayushman Bharat,C007,medium,2,233.01,226.35,221.91,205.21,16.7,7.53,0.9247,0,60,normal,0,green
REC00278,2024,1,1,Education,Dahanu,Maharashtra,Jal Jeevan Mission,C098,low,3,97.67,94.88,93.02,89.19,3.83,4.12,0.9588,0,92,normal,0,green
REC04552,2022,8,3,Housing,Dahanu,Maharashtra,PM Awas Yojana,C047,low,3,253.43,246.19,241.36,186.81,54.55,22.6,0.774,0,60,normal,0,green
REC09991,2023,12,4,Health,Anand,Gujarat,Ayushman Bharat,C085,low,3,50.34,48.9,47.94,6.27,41.67,86.92,0.1308,0,26,anomaly_under,2,red
REC03844,2023,1,1,Education,Nagpur,Maharashtra,Ayushman Bharat,C030,low,2,151.79,147.45,144.56,128.81,15.75,10.9,0.891,0,65,normal,0,green
REC05526,2022,2,1,Housing,Mumbai,Maharashtra,Jal Jeevan Mission,C035,medium,1,1202.58,1168.22,1145.31,1011.69,133.62,11.67,0.8833,0,82,normal,0,green
REC07303,2021,1,1,Infrastructure,Surat,Gujarat,Ayushman Bharat,C034,low,1,2167.16,2105.24,2063.96,2220.08,156.12,7.56,1.0756,1,68,warning,1,yellow
REC03083,2024,3,1,Education,Mumbai,Maharashtra,PM Gram Sadak Yojana,C001,low,1,338.27,328.6,322.16,296.13,26.03,8.08,0.9192,0,66,normal,0,green
REC08258,2023,9,3,Education,Nashik,Maharashtra,PM Fasal Bima Yojana,C052,low,2,191.91,186.43,182.77,197.42,14.65,8.02,1.0802,1,62,warning,1,yellow
REC07084,2023,10,4,Infrastructure,Nandurbar,Maharashtra,Jal Jeevan Mission,C066,low,3,1091.02,1059.85,1039.07,1160.15,121.08,11.65,1.1165,1,41,warning,1,yellow
