record_id,year,month,quarter,department,district,state,scheme,contractor_id,contractor_risk,district_tier,centre_released,state_allocated,district_allocated,contractor_paid,diff_amount,diff_percent,spending_ratio,is_overspend,completion_pct,label_type,label,risk_level
REC05893,2024,3,1,Health,Ahmedabad,Gujarat,PM Awas Yojana,C054,high,1,282.87,274.79,269.4,258.26,11.14,4.14,0.9586,0,74,normal,0,green
REC04890,2024,9,3,Health,Bharuch,Gujarat,Ayushman Bharat,C057,high,3,239.94,233.08,228.51,216.8,11.71,5.12,0.9488,0,80,normal,0,green
REC09102,2022,6,2,Infrastructure,Pune,Maharashtra,Jal Jeevan Mission,C008,medium,1,2216.82,2153.49,2111.26,2782.38,671.12,31.79,1.3179,1,31,anomaly_over,2,red
REC05655,2024,10,4,Housing,Anand,Gujarat,MGNREGA,C079,medium,3,398.81,387.42,379.82,316.55,63.27,16.66,0.8334,0,90,normal,0,green
REC08350,2024,12,4,Infrastructure,Mumbai,Maharashtra,Ayushman Bharat,C042,low,1,1850.76,1797.88,1762.63,1110.3,652.33,37.01,0.6299,0,54,warning,1,yellow
REC01076,2024,8,3,Sanitation,Raigad,Maharashtra,Sarva Shiksha Abhiyan,C070,low,3,116.9,113.56,111.33,95.74,15.59,14.0,0.86,0,90,normal,0,green
REC03968,2024,7,3,Housing,Rajkot,Gujarat,Swachh Bharat Mission,C058,medium,2,827.93,804.27,788.5,621.25,167.25,21.21,0.7879,0,78,normal,0,green
REC06138,2022,12,4,Agriculture,Nandurbar,Maharashtra,Sarva Shiksha Abhiyan,C064,medium,3,126.05,122.45,120.05,83.59,36.46,30.37,0.6963,0,74,normal,0,green
REC02371,2022,9,3,Agriculture,Dahanu,Maharashtra,Ayushman Bharat,C009,low,3,142.04,137.99,135.28,93.29,41.99,31.04,0.6896,0,74,normal,0,green
REC03865,2023,3,1,Housing,Ahmedabad,Gujarat,MGNREGA,C046,low,1,515.67,500.93,491.11,376.59,114.52,23.32,0.7668,0,74,normal,0,green
REC08734,2021,3,1,Education,Vadodara,Gujarat,PM Fasal Bima Yojana,C086,low,2,146.56,142.37,139.58,222.41,82.83,59.34,1.5934,1,34,anomaly_over,2,red
REC09609,2023,2,1,Education,Rajkot,Gujarat,PM Fasal Bima Yojana,C057,high,2,85.94,83.49,81.85,35.81,46.04,56.25,0.4375,0,25,anomaly_under,2,red
REC02196,2023,4,2,Education,Anand,Gujarat,Swachh Bharat Mission,C086,low,3,61.15,59.4,58.24,51.65,6.59,11.32,0.8868,0,72,normal,0,green
